LABELS
SEPARATOR TAB
DATA
N2	k__Archaea
N8803	s__Butyrivibrio hungatei
N8830	s__Lactobacillus apis
N8848	g__Sediminibacterium
N8870	g__Spirosoma
N8871	g__Chryseobacterium
N8874	s__Myroides odoratus
N8883	g__Kordia
N8885	g__Nonlabens
N8888	s__Anaerophaga thermohalophila
N8889	s__Draconibacterium orientale
N8894	g__Dysgonomonas
N8902	g__Prevotella
N8903	g__Asaia
N8905	s__Gluconobacter oxydans
N8917	s__Novosphingobium barchaimii
N8925	g__Jannaschia
N8932	f__Methylocystaceae_1
N8933	f__Beijerinckiaceae
N8934	f__Bradyrhizobiaceae_1; g__Bosea
N8936	f__Xanthobacteraceae
N8944	s__Herbaspirillum chlorophenolicum
N8946	g__Caballeronia
N8947	g__Paraburkholderia
N8949	g__Polaromonas
N8955	g__Dyella
N8956	g__Rhodanobacter
N8995	s__Pseudomonas stutzeri
N9006	g__Amphritea
N9009	s__Paraglaciecola psychrophila
N9012	s__Glaciecola punicea
N9030	s__[Haemophilus] parasuis
N9033	g__Aggregatibacter
N9034	g__Haemophilus_1
N9037	g__Xenorhabdus
N9071	s__Corynebacterium aurimucosum
N9080	s__Streptomyces avermitilis
N9092	g__Agromyces
N9115	s__Lactobacillus acidophilus
N9129	s__Roseivirga seohaensis
N9131	s__Rhodonellum psychrophilum
N9141	s__Capnocytophaga granulosa
N9200	g__Methylosinus
N9201	g__Methylocystis
N9208	f__Bradyrhizobiaceae
N9212	f__Methylocystaceae_2
N9213	f__Rhodobacteraceae_1
N9214	f__Aurantimonadaceae
N9225	g__Rhodoferax
N9226	g__Ramlibacter
N9227	g__Pseudorhodoferax
N9231	g__Comamonas
N9274	g__Neptuniibacter
N9275	g__Neptunomonas
N9278	s__Glaciecola pallidula
N9292	s__Avibacterium paragallinarum
N9293	g__Basfia
N9294	s__Haemophilus parainfluenzae
N9300	g__Morganella
N9301	g__Arsenophonus
N9303	f__Pectobacteriaceae_1
N9340	s__Microbacterium testaceum
N9352	s__Streptococcus pyogenes
N9364	s__Algoriphagus marincola
N9371	s__Myroides profundi
N9372	s__Myroides odoratimimus
N9373	s__Flavobacterium akiainvivens
N9379	s__Zhouia amylolytica
N9382	g__Robiginitalea
N9390	g__Aquimarina
N9402	g__Alloprevotella
N9418	g__Rhodobacter_1; s__Rhodobacter sphaeroides
N9422	g__Actibacterium
N9423	g__Celeribacter
N9429	g__Beijerinckia
N9432	f__Methylobacteriaceae
N9433	g__Xanthobacter
N9434	g__Azorhizobium
N9441	g__Aurantimonas
N9442	g__Aureimonas
N9443	f__Rhodobacteraceae_2; g__Ahrensia
N9450	g__Variovorax
N9460	g__Xylella
N9461	g__Xanthomonas
N9462	g__Thiorhodococcus
N9481	s__Acinetobacter bohemicus
N9498	s__Halomonas sp. HL-93
N9504	s__Neptunomonas phycophila
N9515	g__Vibrio
N9521	s__Haemophilus influenzae
N9525	s__Morganella psychrotolerans
N9527	g__Providencia
N9528	g__Sodalis
N9532	f__Hafniaceae
N9533	f__Yersiniaceae
N9534	f__Pectobacteriaceae
N9578	s__Flavobacterium subsaxonicum
N9579	s__Flavobacterium rivuli
N9586	g__Mangrovimonas
N9592	g__Aequorivita
N9598	g__Proteiniphilum
N9615	g__Altererythrobacter
N9626	g__Methylocapsa
N9629	g__Methylobacterium
N9631	g__Afipia
N9635	g__Pleomorphomonas
N9642	g__Verminephrobacter
N9647	s__Stenotrophomonas maltophilia
N9665	s__Acinetobacter venetianus
N9666	s__Acinetobacter indicus
N9683	s__Neptunomonas antarctica
N9685	s__Pseudoalteromonas luteoviolacea
N9690	g__Candidatus Photodesmus
N9705	f__; g__; s__Candidatus Baumannia cicadellinicola
N9712	f__Erwiniaceae
N9713	f__Enterobacteriaceae
N9748	g__Winogradskyella
N9752	s__Nonlabens ulvanivorans
N9754	g__Dokdonia; s__Dokdonia donghaensis
N9755	g__Leeuwenhoekiella
N9775	g__Pseudorhodobacter
N9776	g__Rhodobacter
N9778	g__Halocynthiibacter
N9785	g__Microvirga
N9790	g__Rhodopseudomonas
N9795	f__Phyllobacteriaceae_1; g__Hoeflea
N9797	f__Phyllobacteriaceae
N9826	s__Alteromonas mediterranea
N9827	s__Alteromonas macleodii
N9843	g__Serratia
N9861	s__Butyrivibrio proteoclasticus
N9870	s__Chryseobacterium formosense
N9881	g__Muricauda
N9882	g__Cellulophaga
N9888	g__Formosa
N9894	s__Bacteroides fragilis
N9918	s__Methylobacterium aquaticum
N9922	s__Rhodopseudomonas palustris
N9923	g__Nitrobacter
N9924	g__Bradyrhizobium
N9925	g__Nesiotobacter; s__Nesiotobacter exalbescens
N9926	g__Pseudovibrio
N9929	s__Aureimonas ureilytica
N9931	f__Aurantimonadaceae_1; g__Martelella
N9932	f__Rhizobiaceae
N9936	f__Bartonellaceae
N9960	f__Enterobacteriaceae_1; g__Candidatus Blochmannia
N9966	g__Yersinia
N9967	g__Dickeya
N9969	g__Pantoea
N9997	s__Chryseobacterium indologenes
N10005	g__Arenibacter
N10007	g__Maribacter
N10008	g__Psychroserpens
N10010	g__Lacinutrix
N10012	g__Algibacter
N10016	g__Salinimicrobium
N10023	s__Prevotella ruminicola
N10033	g__Rubellimicrobium
N10047	g__Labrenzia
N10049	g__Candidatus Liberibacter
N10052	g__Nitratireductor
N10055	f__Phyllobacteriaceae_2; g__Phyllobacterium
N10057	g__Bartonella
N10076	g__Erwinia
N10099	s__Muricauda antarctica
N10109	g__Psychroflexus
N10111	g__Gillisia
N10122	g__Porphyrobacter
N10125	g__Octadecabacter
N10126	g__Loktanella
N10132	s__Methylobacterium populi
N10142	g__Chelativorans
N10147	f__Brucellaceae; g__Ochrobactrum
N10150	s__Acinetobacter lwoffii
N10154	s__Vibrio parahaemolyticus
N10160	f__Erwiniaceae_1; g__Buchnera
N10163	s__Yersinia pestis
N10181	s__Flavobacterium johnsoniae
N10197	s__Bacteroides thetaiotaomicron
N10204	g__Citromicrobium
N10208	s__Octadecabacter temperatus
N10217	s__Bradyrhizobium elkanii
N10218	s__Bradyrhizobium lablabi
N10221	s__Labrenzia alba
N10225	g__Agrobacterium
N10227	g__Mesorhizobium
N10228	s__Ochrobactrum anthropi
N10229	s__Bartonella tamiae
N10230	s__Bartonella apis
N10234	s__Pseudomonas fluorescens
N10236	s__Vibrio alginolyticus
N10237	s__Vibrio sp. JCM 18905
N10239	f__Enterobacteriaceae_2; g__Candidatus Riesia
N10240	f__Erwiniaceae_2; g__Wigglesworthia; s__Wigglesworthia glossinidia
N10241	s__Buchnera aphidicola
N10242	s__Yersinia enterocolitica
N10258	g__Zobellia
N10261	g__Gramella
N10269	g__Pseudooceanicola
N10280	s__Candidatus Liberibacter solanacearum
N10284	g__Agrobacterium_1
N10285	g__Rhizobium; s__Rhizobium leguminosarum
N10315	s__Maribacter dokdonensis
N10324	g__Roseovarius
N10335	s__Candidatus Liberibacter asiaticus
N10337	g__Ensifer
N10338	g__Sinorhizobium
N10339	s__Agrobacterium rhizogenes
N10350	s__Bartonella clarridgeiae
N10362	g__Klebsiella
N10378	g__Roseivivax
N10401	s__Bartonella bovis
N10403	s__Bartonella bacilliformis
N10412	g__Enterobacter
N10424	g__Thalassobius
N10428	g__Shimia
N10444	s__Bartonella washoensis
N10450	g__Kluyvera
N10463	g__Sulfitobacter
N10475	g__Escherichia; s__Escherichia coli
N10480	s__Prevotella bryantii
N10482	g__Citreicella
N10491	s__Bartonella tribocorum
N10492	s__Bartonella rattimassiliensis
N10497	g__Citrobacter
N10506	s__Sulfitobacter donghicola
N10509	g__Ruegeria
N10516	s__Bartonella henselae
N10517	s__Bartonella vinsonii
N10522	s__Prevotella intermedia
N10545	g__Leisingera
